gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx1201,64,168,3840,3840,ck,5,0,55.0444,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,90.01,303.05,0.0
gfx1201,64,168,3840,10240,ck,5,0,147.6532,a8w8_blockscale_1x128x128_256x16x128x128_8x16_16x16_1x2_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,89.48,286.7,0.0
gfx1201,64,320,3840,3840,ck,4,0,89.9383,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,104.93,204.94,0.0
gfx1201,64,320,3840,10240,ck,4,0,265.6619,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,94.73,169.6,0.0
gfx1201,64,336,3840,3840,ck,4,0,88.0467,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,112.54,211.44,0.0
gfx1201,64,336,3840,10240,ck,7,0,252.9828,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,104.45,179.23,0.0
gfx1201,64,640,3840,3840,ck,4,0,161.4724,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,116.89,136.98,0.0
gfx1201,64,640,3840,10240,ck,4,0,458.5934,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,109.75,110.75,0.0
gfx1201,64,672,3840,3840,ck,4,0,167.8737,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,118.05,133.95,0.0
gfx1201,64,672,3840,10240,ck,4,0,471.8612,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,112.0,108.85,0.0
gfx1201,64,2048,3840,3840,ck,4,0,486.0095,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.27,78.88,0.0
gfx1201,64,2048,3840,10240,ck,4,0,1273.6482,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,126.46,59.69,0.0
gfx1201,64,4096,3840,3840,ck,4,0,990.9713,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,121.9,62.5,0.0
gfx1201,64,4096,3840,10240,ck,4,0,2538.5662,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,126.89,44.4,0.0
gfx1201,64,4128,3840,10240,ck,7,0,3123.9041,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,103.92,36.27,0.0
gfx1201,64,8160,3840,10240,ck,7,0,6908.9953,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,92.88,26.86,0.0
gfx1201,64,8192,3840,3840,ck,4,0,1961.5059,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,123.17,55.63,0.0
gfx1201,64,8192,3840,10240,ck,4,0,5135.9491,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,125.44,36.24,0.0
gfx1201,64,16320,3840,10240,ck,7,0,13573.5483,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,94.56,24.44,0.0
gfx1201,64,16384,3840,3840,ck,4,0,3996.7259,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,120.89,50.91,0.0
gfx1201,64,16384,3840,10240,ck,4,0,10357.8744,a8w8_blockscale_1x128x128_256x16x256x128_8x16_16x16_1x4_16x16x1_8x32x1_1x16x1x16_8_1x2_intrawave_v1,124.4,32.14,0.0
gfx1201,64,128,4096,4096,ck,7,0,51.6116,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,83.22,355.54,0.0
